,D1,D2,diferenca_D1_D2,desvio_absoluto_D1,desvio_absoluto_D2,volume_V1,volume_V2,desvio_absoluto_V1,desvio_absoluto_V2
49,19.96,19.9,-0.060000000000002274,0.9993000000000016,0.9586999999999932,4163.707695529808,4126.2719873811775,585.0862998564448,558.7468976557038
50,19.72,20.02,0.3000000000000007,0.7592999999999996,1.0786999999999942,4015.312530785454,4201.369145960154,436.6911351120907,633.8440562346805
51,18.3,18.18,-0.120000000000001,-0.6606999999999985,-0.7613000000000056,3208.868289470092,3146.156043113803,-369.7531062032713,-421.36904661167046
52,18.4,18.48,0.08000000000000185,-0.5607000000000006,-0.46130000000000493,3261.760666984704,3304.490616394696,-316.86072868865904,-263.0344733307775
53,18.78,18.74,-0.0400000000000027,-0.18069999999999808,-0.20130000000000692,3468.0502865770395,3445.9373866258175,-110.57110909632365,-121.58770309965621
54,19.22,19.16,-0.05999999999999872,0.25929999999999964,0.2186999999999948,3717.5667256846646,3682.859377658343,138.9453300113014,115.3342879328693
55,19.18,19.14,-0.03999999999999915,0.2193000000000005,0.1986999999999952,3694.404382990698,3671.3384494920847,115.78298731733503,103.81335976661103
56,18.96,18.82,-0.14000000000000057,-0.0006999999999983686,-0.12130000000000507,3568.7294215678266,3490.257585104315,-9.89197410553652,-77.26750462115888
57,19.45,19.35,-0.09999999999999787,0.48930000000000007,0.40869999999999607,3852.6312169223315,3793.5125954673863,274.00982124896836,225.98750574191263
58,19.65,19.65,0.0,0.6892999999999994,0.7086999999999932,3972.704720738248,3972.704720738248,394.0833250648848,405.1796310127743
59,19.4,19.2,-0.1999999999999993,0.43929999999999936,0.25869999999999393,3822.9957225730086,3705.9734906218914,244.37432689964544,138.44840089641775
60,19.8,19.85,0.05000000000000071,0.8393000000000015,0.9086999999999961,4064.37894691403,4095.2475163798877,485.757551240667,527.722426654414
61,18.9,19.1,0.20000000000000284,-0.06070000000000064,0.15869999999999607,3534.9561821347506,3648.368724126895,-43.665213538612534,80.84363440142124
62,18.8,18.9,0.09999999999999787,-0.1606999999999985,-0.041300000000006776,3479.1421234522995,3534.9561821347506,-99.47927222106364,-32.56890759072303
63,19.8,18.9,-0.9000000000000021,0.8393000000000015,-0.041300000000006776,4064.37894691403,3534.9561821347506,485.757551240667,-32.56890759072303
64,19.8,19.7,-0.10000000000000142,0.8393000000000015,0.7586999999999939,4064.37894691403,4003.1079417922924,485.757551240667,435.58285206681876
65,19.1,19.8,0.6999999999999993,0.1393000000000022,0.8586999999999954,3648.368724126895,4064.37894691403,69.74732845353174,496.8538571885565
66,19.1,18.6,-0.5,0.1393000000000022,-0.34130000000000393,3648.368724126895,3369.2827227513676,69.74732845353174,-198.24236697410606
67,19.4,19.4,0.0,0.43929999999999936,0.4586999999999932,3822.9957225730086,3822.9957225730086,244.37432689964544,255.47063284753494
68,19.9,19.82,-0.0799999999999983,0.9392999999999994,0.8786999999999949,4126.2719873811775,4076.7076916488622,547.6505917078143,509.1826019233886
69,18.62,18.72,0.09999999999999787,-0.3406999999999982,-0.2213000000000065,3380.1630676091877,3434.9162732843747,-198.45832806417548,-132.60881644109895
70,18.44,18.54,0.09999999999999787,-0.5206999999999979,-0.4013000000000062,3283.079296914875,3336.781828342995,-295.542098758488,-230.74326138247852
71,18.86,18.82,-0.03999999999999915,-0.10069999999999979,-0.12130000000000507,3512.5594832695756,3490.257585104315,-66.06191240378757,-77.26750462115888
72,18.68,18.98,0.3000000000000007,-0.2806999999999995,0.03869999999999507,3412.9445942061184,3580.0347862125664,-165.6768014672448,12.509696487092697
73,18.94,19.1,0.16000000000000014,-0.020699999999997942,0.15869999999999607,3557.4478827617722,3648.368724126895,-21.173512911590933,80.84363440142124
74,18.5,18.56,0.05999999999999872,-0.4606999999999992,-0.38130000000000663,3315.231097547579,3347.592128251011,-263.3902981257843,-219.93296147446245
75,18.54,18.58,0.03999999999999915,-0.4207000000000001,-0.36130000000000706,3336.781828342995,3358.4257513428875,-241.83956733036803,-209.0993383825862
76,18.58,18.7,0.120000000000001,-0.3807000000000009,-0.24130000000000607,3358.4257513428875,3423.918684188722,-220.19564433047572,-143.60640553675148
77,18.44,18.6,0.16000000000000014,-0.5206999999999979,-0.34130000000000393,3283.079296914875,3369.2827227513676,-295.542098758488,-198.24236697410606
78,19.32,19.38,0.05999999999999872,0.35930000000000106,0.43869999999999365,3775.8956921181693,3811.184209652664,197.27429644480617,243.6591199271902
79,19.38,19.3,-0.0799999999999983,0.4192999999999998,0.35869999999999536,3811.184209652664,3764.1814429063797,232.5628139793007,196.65635318090608
80,19.8,19.78,-0.019999999999999574,0.8393000000000015,0.8386999999999958,4064.37894691403,4052.075083593015,485.757551240667,484.54999386754116
81,19.78,20.1,0.3200000000000003,0.8193000000000019,1.158699999999996,4052.075083593015,4251.936740722322,473.45368791965166,684.411650996848
82,18.98,18.78,-0.1999999999999993,0.019300000000001205,-0.16130000000000422,3580.0347862125664,3468.0502865770395,1.413390539203192,-99.47480314843415
83,19.48,18.62,-0.8599999999999994,0.5193000000000012,-0.32130000000000436,3870.4858131717197,3380.1630676091877,291.8644174983565,-187.36202211628597
84,19.24,19.34,0.10000000000000142,0.2792999999999992,0.3986999999999945,3729.184113311759,3787.6342195579855,150.56271763839595,220.10912983251183
85,18.62,18.58,-0.0400000000000027,-0.3406999999999982,-0.36130000000000706,3380.1630676091877,3358.4257513428875,-198.45832806417548,-209.0993383825862
86,19.8,19.78,-0.019999999999999574,0.8393000000000015,0.8386999999999958,4064.37894691403,4052.075083593015,485.757551240667,484.54999386754116
87,18.1,18.4,0.29999999999999716,-0.8606999999999978,-0.5413000000000068,3104.805127215033,3261.760666984704,-473.81626845833034,-305.76442274076953
88,19.12,18.8,-0.3200000000000003,0.15930000000000177,-0.14130000000000464,3659.841573359183,3479.1421234522995,81.22017768581964,-88.38296627317413
89,18.42,18.41,-0.010000000000001563,-0.5406999999999975,-0.5313000000000052,3272.4084083224548,3267.081645817542,-306.2129873509084,-300.44344390793185
90,17.8,18.1,0.3000000000000007,-1.1606999999999985,-0.8413000000000039,2952.967241878057,3104.805127215033,-625.6541537953062,-462.71996251044084
91,19.12,18.82,-0.3000000000000007,0.15930000000000177,-0.12130000000000507,3659.841573359183,3490.257585104315,81.22017768581964,-77.26750462115888
92,18.4,18.6,0.20000000000000284,-0.5607000000000006,-0.34130000000000393,3261.760666984704,3369.2827227513676,-316.86072868865904,-198.24236697410606
93,18.7,18.6,-0.09999999999999787,-0.26069999999999993,-0.34130000000000393,3423.918684188722,3369.2827227513676,-154.702711484641,-198.24236697410606
94,18.8,19.2,0.3999999999999986,-0.1606999999999985,0.25869999999999393,3479.1421234522995,3705.9734906218914,-99.47927222106364,138.44840089641775
95,19.1,19.2,0.09999999999999787,0.1393000000000022,0.25869999999999393,3648.368724126895,3705.9734906218914,69.74732845353174,138.44840089641775
96,18.68,18.64,-0.03999999999999915,-0.2806999999999995,-0.3013000000000048,3412.9445942061184,3391.0668110490924,-165.6768014672448,-176.45827867638127
97,19.1,19.2,0.09999999999999787,0.1393000000000022,0.25869999999999393,3648.368724126895,3705.9734906218914,69.74732845353174,138.44840089641775
98,18.64,18.64,0.0,-0.32069999999999865,-0.3013000000000048,3391.0668110490924,3391.0668110490924,-187.55458462427077,-176.45827867638127
99,19.12,19.0,-0.120000000000001,0.15930000000000177,0.058699999999994645,3659.841573359183,3591.3640018287315,81.22017768581964,23.838912103257826
